Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Chasca,https://tierlist-plus.netlify.app/headshots/Chasca.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,10,10,10,10,11,11,11,11,8,8,8,8,8,9,10,10,9,9,9,10,11,11,11,11,14,15,16
Chevreuse,https://tierlist-plus.netlify.app/headshots/Chevreuse.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiori,https://tierlist-plus.netlify.app/headshots/Chiori.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chongyun,https://tierlist-plus.netlify.app/headshots/Chongyun.png,#4CD0F0,,,,,,12,13,14,14,15,16,17,17,17,19,21,23,24,24,24,24,,,,,,,,,27,28,28,29,29,31,32,33,33,34,34,31,31,36,36,36,38,38,38,38,38,39,38,37,38,38,38,38,38,39,39,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citlali,https://tierlist-plus.netlify.app/headshots/Citlali.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clorinde,https://tierlist-plus.netlify.app/headshots/Clorinde.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,12,13,13,13,14,14,13,13,13,13,15,15,15,15,16,16,16,16,14,15,16,16,11,11,11,12,13,13,13,13,15,16,19
Collei,https://tierlist-plus.netlify.app/headshots/Collei.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbina,https://tierlist-plus.netlify.app/headshots/Columbina.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyno,https://tierlist-plus.netlify.app/headshots/Cyno.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,12,13,13,7,7,11,11,11,11,11,11,11,11,12,12,13,15,16,16,17,17,20,20,19,19,20,20,21,21,21,21,22,23,23,23,24,24,26,26,26,26,27,27,27,27,28,28,28,28,27,28,29,29,33,33,33,34,35,35,35,35,35,36,17
Dahlia,https://tierlist-plus.netlify.app/headshots/Dahlia.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dehya,https://tierlist-plus.netlify.app/headshots/Dehya.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,29,29,29,29,29,30,32,33,34,34,34,34,34,35,35,34,34,32,32,34,34,34,34,35,36,36,36,37,37,38,38,40,40,41,41,42,42,43,43,43,43,41,42,43,43,44,44,44,45,46,46,46,46,46,47,48
Diluc,https://tierlist-plus.netlify.app/headshots/Diluc.png,#DC6664,1,1,1,1,1,2,4,5,5,5,5,5,5,5,6,7,8,8,8,8,8,12,13,13,13,13,14,14,14,14,15,15,16,16,18,18,19,19,20,20,17,17,21,21,21,21,21,21,21,21,22,22,23,24,24,24,25,25,13,13,13,13,13,13,14,14,14,14,15,16,16,16,17,17,18,18,18,18,19,19,19,19,20,20,20,20,20,21,22,22,27,27,27,28,29,29,29,29,29,30,32
Diona,https://tierlist-plus.netlify.app/headshots/Diona.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dori,https://tierlist-plus.netlify.app/headshots/Dori.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durin,https://tierlist-plus.netlify.app/headshots/Durin.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilie,https://tierlist-plus.netlify.app/headshots/Emilie.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escoffier,https://tierlist-plus.netlify.app/headshots/Escoffier.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eula,https://tierlist-plus.netlify.app/headshots/Eula.png,#4CD0F0,,,,,,,,,,,,4,4,3,4,4,4,4,4,4,4,6,6,6,6,6,7,7,7,9,7,7,7,7,7,7,7,14,15,15,12,12,16,16,16,16,16,16,16,16,17,17,18,19,19,19,21,21,23,23,22,22,23,23,24,24,24,24,25,26,26,26,27,27,29,29,31,31,32,32,32,32,33,33,33,33,32,33,34,34,37,37,37,38,39,39,39,39,39,40,42
Faruzan,https://tierlist-plus.netlify.app/headshots/Faruzan.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fischl,https://tierlist-plus.netlify.app/headshots/Fischl.png,#D050DC,,,,,10,13,12,13,13,14,15,13,13,,14,15,17,17,17,17,17,19,19,19,19,19,20,20,20,19,20,20,21,22,23,24,25,25,26,26,23,23,27,27,27,28,28,28,28,28,29,30,31,32,32,32,32,32,33,33,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flins,https://tierlist-plus.netlify.app/headshots/Flins.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,4,4,4,3,4,3,3,4,4,4,4,4
Freminet,https://tierlist-plus.netlify.app/headshots/Freminet.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,30,30,30,30,30,31,31,30,30,29,29,31,31,31,31,32,33,33,33,34,34,35,35,37,37,38,38,39,39,40,40,40,40,38,39,40,40,42,42,42,43,44,44,44,44,44,45,46
Furina,https://tierlist-plus.netlify.app/headshots/Furina.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,https://tierlist-plus.netlify.app/headshots/Gaming.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,15,15,14,14,12,12,12,12,9,9,9,9,9,10,11,11,12,12,12,13,14,14,14,14,16,17,20
Ganyu,https://tierlist-plus.netlify.app/headshots/Ganyu.png,#4CD0F0,,,,,,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,5,3,3,3,3,4,4,4,3,3,3,3,3,5,5,5,5,5,5,2,2,6,6,6,6,6,6,6,6,6,6,7,8,8,8,9,10,15,15,14,14,17,17,18,18,18,18,19,20,20,20,21,21,22,22,22,22,23,23,23,23,22,22,22,22,22,23,24,24,30,30,30,31,32,32,32,32,32,33,35
Gorou,https://tierlist-plus.netlify.app/headshots/Gorou.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heizou,https://tierlist-plus.netlify.app/headshots/Heizou.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,14,14,16,16,17,17,18,18,15,15,19,19,19,19,19,19,19,19,20,20,21,22,22,22,23,23,25,25,24,24,25,25,27,27,27,27,28,29,29,29,30,30,31,31,33,33,34,34,35,35,36,36,36,36,35,36,37,37,40,40,40,41,42,42,42,42,42,43,44
Hu Tao,https://tierlist-plus.netlify.app/headshots/Hu%20Tao.png,#DC6664,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,,1,1,1,4,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,9,9,9,9,12,12,12,12,16,17,18,18,21,21,21,22,23,23,23,23,23,24,26
Iansan,https://tierlist-plus.netlify.app/headshots/Iansan.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifa,https://tierlist-plus.netlify.app/headshots/Ifa.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,30,30,30,30,28,29,30,30,34,34,34,35,36,36,36,36,36,37,38
Illuga,https://tierlist-plus.netlify.app/headshots/Illuga.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ineffa,https://tierlist-plus.netlify.app/headshots/Ineffa.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itto,https://tierlist-plus.netlify.app/headshots/Itto.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,6,6,6,4,4,4,4,5,6,6,6,6,6,6,3,3,7,7,7,7,7,7,7,7,8,8,9,11,11,11,12,12,18,18,17,17,19,19,20,20,20,20,21,22,22,22,23,23,25,25,25,25,26,26,26,26,27,27,27,27,29,30,31,31,28,28,28,29,30,30,30,30,30,31,33
Jahoda,https://tierlist-plus.netlify.app/headshots/Jahoda.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean,https://tierlist-plus.netlify.app/headshots/Jean.png,#08F298,4,5,7,7,8,10,14,,,,,,,12,18,20,22,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kachina,https://tierlist-plus.netlify.app/headshots/Kachina.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaeya,https://tierlist-plus.netlify.app/headshots/Kaeya.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,21,21,21,22,23,23,24,23,25,26,27,27,28,28,25,25,30,30,30,32,32,32,32,32,33,31,32,33,33,33,33,33,34,34,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaveh,https://tierlist-plus.netlify.app/headshots/Kaveh.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,23,23,24,25,25,25,26,26,27,27,26,26,27,27,29,29,29,29,30,31,31,31,32,32,33,33,35,35,36,36,37,37,38,38,38,38,37,38,39,39,41,41,41,42,43,43,43,43,43,44,45
Kazuha,https://tierlist-plus.netlify.app/headshots/Kazuha.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keqing,https://tierlist-plus.netlify.app/headshots/Keqing.png,#D050DC,2,2,4,4,6,7,7,7,7,7,8,9,9,9,9,10,12,12,12,12,12,16,16,16,16,16,17,17,17,18,19,19,20,17,12,12,12,13,14,14,10,10,14,14,14,14,14,14,14,14,15,15,16,17,17,17,18,18,21,21,20,20,21,21,22,22,22,22,23,24,24,24,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,31,32,32,35,35,35,36,37,37,37,37,37,38,40
Kinich,https://tierlist-plus.netlify.app/headshots/Kinich.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,9,9,10,10,10,11,12,12,12,12,8,8,9
Kirara,https://tierlist-plus.netlify.app/headshots/Kirara.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klee,https://tierlist-plus.netlify.app/headshots/Klee.png,#DC6664,,3,2,2,3,4,5,6,6,6,6,6,6,6,7,8,9,9,9,9,9,14,14,14,14,14,15,15,15,13,14,14,15,15,17,17,18,18,19,19,16,16,20,20,20,20,20,20,20,20,21,21,22,23,23,23,24,24,26,26,25,25,26,26,28,28,28,28,29,30,30,30,31,31,32,32,34,34,35,35,36,36,37,37,37,37,36,37,38,38,13,13,13,14,15,15,15,15,12,13,14
Kokomi,https://tierlist-plus.netlify.app/headshots/Kokomi.png,#4474DA,,,,,,,,,,,,,,,,,,22,22,22,22,15,15,15,15,15,16,16,16,17,18,18,19,20,21,21,22,22,23,23,20,20,24,24,24,25,25,25,25,25,26,26,27,28,28,28,28,28,29,29,28,28,28,28,30,30,30,30,31,32,32,32,33,33,34,34,36,36,37,37,38,38,39,39,39,39,,,,,,,,,,,,,,,
Lan Yan,https://tierlist-plus.netlify.app/headshots/Lan%20Yan.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauma,https://tierlist-plus.netlify.app/headshots/Lauma.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layla,https://tierlist-plus.netlify.app/headshots/Layla.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linnea,https://tierlist-plus.netlify.app/headshots/Linnea.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa,https://tierlist-plus.netlify.app/headshots/Lisa.png,#D050DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohen,https://tierlist-plus.netlify.app/headshots/Lohen.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12
Lynette,https://tierlist-plus.netlify.app/headshots/Lynette.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyney,https://tierlist-plus.netlify.app/headshots/Lyney.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,10,10,10,10,13,13,13,13,15,16,17,17,20,20,20,21,22,22,22,22,22,23,25
Mavuika,https://tierlist-plus.netlify.app/headshots/Mavuika.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Mika,https://tierlist-plus.netlify.app/headshots/Mika.png,#4CD0F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizuki,https://tierlist-plus.netlify.app/headshots/Mizuki.png,#08F298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,29,29,33,33,34,34,34,34,33,34,35,35,38,38,38,39,40,40,40,40,40,41,39
Mona,https://tierlist-plus.netlify.app/headshots/Mona.png,#4474DA,,,,,,11,15,15,15,16,17,18,18,,17,19,21,21,21,21,21,17,17,17,17,17,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mualani,https://tierlist-plus.netlify.app/headshots/Mualani.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,7,8,8,7,7,7,8,8,8,8,8,10,10,11
Nahida,https://tierlist-plus.netlify.app/headshots/Nahida.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,12,12,6,6,10,10,10,10,10,10,10,10,11,11,12,13,13,13,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navia,https://tierlist-plus.netlify.app/headshots/Navia.png,#FFCB51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,7,7,7,7,10,10,10,10,11,12,13,13,16,16,16,17,18,18,18,18,18,19,22
Nefer,https://tierlist-plus.netlify.app/headshots/Nefer.png,#82E202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,2,2,2,2,3,3,3,3,3
Neuvillette,https://tierlist-plus.netlify.app/headshots/Neuvillette.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,6,6,6,6,6,7,10,10,10,10,13,14,15
Nicole,https://tierlist-plus.netlify.app/headshots/Nicole.png,#DC6664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilou,https://tierlist-plus.netlify.app/headshots/Nilou.png,#4474DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,23,24,24,21,21,25,25,25,26,26,26,26,26,27,27,28,29,29,29,29,29,30,30,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
